"","char.name","char.stat","char.value"
"4839","Chatham Taylor","Duration","2017-2020"
"4840","Chatham Taylor","Episode Count"," 63 "
"4841","Chatham Taylor","Address","23B Albert Square (2017-2020)"
"4842","Chatham Taylor","Status","Alive"
"4843","Chatham Taylor","Age","15"
"4844","Chatham Taylor","Date of Birth","14th August 2007"
"4845","Chatham Taylor","Occupation","Student"
"4846","Chatham Taylor","Classification","Former; recurring"
"4847","Chatham Taylor","Mother","Karen Taylor"
"4848","Chatham Taylor","Brothers","Riley Taylor"
"4849","Chatham Taylor","Half-Brothers","Keanu Taylor Keegan Baker"
"4850","Chatham Taylor","Half-Sisters","Chantelle Atkins (deceased) Bernadette Taylor"
"4851","Chatham Taylor","Nephews","Mackenzie Atkins Albie Watts"
"4852","Chatham Taylor","Nieces","Belle Taylor Mia Atkins"
"4853","Chatham Taylor","Page Links:","What Links Here"
"4854","Chelsea Fox","Married","Chelsea Atkins"
"4855","Chelsea Fox","Nicknames","Chels  Cruella (by Karen Taylor)"
"4856","Chelsea Fox","Portrayed by","Tiana Benjamin (2006-2010) Zaraah Abrahams (2020-)"
"4857","Chelsea Fox","Introduced by","Kate Harwood (2006) Jon Sen (2020)"
"4858","Chelsea Fox","Spin-off Appearances","Beatles Tribute (2007)"
"4859","Chelsea Fox","Gender"," Female"
"4860","Chelsea Fox","First Appearance","2 May 2006"
"4861","Chelsea Fox","Credits","List of appearances"
"4862","Chelsea Fox","Duration","2006-2010, 2020-"
"4863","Chelsea Fox","Episode Count"," Ongoing "
"4864","Chelsea Fox","Doof Doof Count"," 34 "
"4865","Chelsea Fox","Address","1 Albert Square (2021-)"
"4866","Chelsea Fox","Status","Alive"
"4867","Chelsea Fox","Age","36"
"4868","Chelsea Fox","Date of Birth","20th May 1986"
"4869","Chelsea Fox","Occupation","Beautician"
"4870","Chelsea Fox","Classification","Present; regular"
"4871","Chelsea Fox","Husband","Gray Atkins (2021-)"
"4872","Chelsea Fox","Romances","Grant Mitchell (2006) Dean Wicks (2006) Sean Slater (2007) Ellis Prince (2009) Theo Kelly (2009) Jack Branning (2010) Caleb Malone (??-2020) Gray Atkins (2021-2022) James (2021)"
"4873","Chelsea Fox","Sons","Jordan Atkins"
"4874","Chelsea Fox","Stepsons","Mackenzie Atkins (2021-)"
"4875","Chelsea Fox","Stepdaughters","Mia Atkins (2021-)"
"4876","Chelsea Fox","Father","Lucas Johnson"
"4877","Chelsea Fox","Mother","Denise Fox"
"4878","Chelsea Fox","Stepfather","Owen Turner (backstory) Kevin Wicks (2007) Jack Branning (2021-)"
"4879","Chelsea Fox","Half-Brothers","Jordan Johnson Raymond Dawkins"
"4880","Chelsea Fox","Half-Sisters","Libby Fox"
"4881","Chelsea Fox","Grandmothers","Emerald Fox"
"4882","Chelsea Fox","Aunts","Daphne Fox Kim Fox Gloria MacDonald"
"4883","Chelsea Fox","Nephews","JJ Johnson"
"4884","Chelsea Fox","First cousins","Pearl Fox Mica Fox"
"4885","Chelsea Fox","Page Links:","What Links Here"
"4886","Cherish Hylton","Portrayed by","Linette Beaumont (search)"
"4887","Cherish Hylton","Introduced by","Sean O'Connor"
"4888","Cherish Hylton","Gender"," Female"
"4889","Cherish Hylton","First Appearance","17 November 2016"
"4890","Cherish Hylton","Status","Alive"
"4891","Cherish Hylton","Classification","Former; guest"
"4892","Cherish Hylton","Page Links:","What Links Here"
"4893","Cherry","Portrayed by","Leigh-Anne Gilbert (search)"
"4894","Cherry","Introduced by","John Yorke"
"4895","Cherry","Gender"," Female"
"4896","Cherry","Appears on","15 May 2018"
"4897","Cherry","Episode Count"," 1 "
"4898","Cherry","Status","Alive"
"4899","Cherry","Occupation","Barmaid"
"4900","Cherry","Classification","Former; guest"
"4901","Cherry","Page Links:","What Links Here"
"4902","Cherry Moon","Gender"," Female"
"4903","Cherry Moon","Status","Deceased"
"4904","Cherry Moon","Date of Birth","1946"
"4905","Cherry Moon","Date of Death","14 February 1988"
"4906","Cherry Moon","Husband","Alfred Moon"
"4907","Cherry Moon","Sons","Alfie Moon Spencer Moon"
"4908","Cherry Moon","Grandsons","Bert MoonErnie Moon"
"4909","Cherry Moon","Granddaughters","Cherry Slater"
"4910","Cherry Moon","Nephews","Jake MoonDanny Moon"
"4911","Cherry Moon","Page Links:","What Links Here"
"4912","Cherry Slater","Other names","Rose Slater"
"4913","Cherry Slater","Introduced by","John Yorke"
"4914","Cherry Slater","Gender"," Female"
"4915","Cherry Slater","First Appearance","30 October 2018"
"4916","Cherry Slater","Last Appearance","19 May 2020"
"4917","Cherry Slater","Credits","List of appearances"
"4918","Cherry Slater","Cause/Reason","Returned back to her mother Hayley Slater during lockdown"
"4919","Cherry Slater","Duration","2018-2020"
"4920","Cherry Slater","Episode Count"," 57 "
"4921","Cherry Slater","Doof Doof Count"," 2 "
"4922","Cherry Slater","Status","Alive"
"4923","Cherry Slater","Age","3"
"4924","Cherry Slater","Date of Birth","31 October 2018"
"4925","Cherry Slater","Classification","Former; recurring"
"4926","Cherry Slater","Father","Alfie Moon"
"4927","Cherry Slater","Mother","Hayley Slater"
"4928","Cherry Slater","Half-Brothers","Bert Moon Ernie Moon"
"4929","Cherry Slater","Grandfathers","Alfred Moon"
"4930","Cherry Slater","Grandmothers","Bev Slater Cherry Moon"
"4931","Cherry Slater","Great-grandfathers","William Moon"
"4932","Cherry Slater","Great-grandmothers","Victoria Moon (deceased)"
"4933","Cherry Slater","Uncles","Spencer Moon"
"4934","Cherry Slater","Great-uncles","Charlie Slater (deceased)Harry SlaterBrian Slater"
"4935","Cherry Slater","Other known relatives","Stacey SlaterSean SlaterKyle SlaterSiobhan SlaterShannon SlaterKat SlaterBelinda PeacockLittle Mo SlaterLynne SlaterZoe SlaterDermott DolanFreddie SlaterTommy MoonLily SlaterArthur Fowler JrHope FowlerJake MoonDanny MoonMaxwell MoonMichael Moon (deceased)Tyler MoonAnthony MoonEddie MoonCraig MoonFrancesca MoonScarlett Moon"
"4936","Cherry Slater","Page Links:","What Links Here"
"4937","Cheryl","Portrayed by","Uncredited (search)"
"4938","Cheryl","Gender"," Female"
"4939","Cheryl","First Appearance","2008"
"4940","Cheryl","Last Appearance","? June 2008"
"4941","Cheryl","Cause/Reason","Marie Evans returned to work"
"4942","Cheryl","Duration","2008"
"4943","Cheryl","Status","Alive"
"4944","Cheryl","Occupation","Cafe employee"
"4945","Cheryl","Classification","Former; Named extra"
"4946","Cheryl","Page Links:","What Links Here"
"4947","Cheryl Matthews","Portrayed by","Heather Craney (search)"
"4948","Cheryl Matthews","Gender"," Female"
"4949","Cheryl Matthews","First Appearance","1 August 2011"
"4950","Cheryl Matthews","Last Appearance","18 August 2011"
"4951","Cheryl Matthews","Episode Count"," 6 "
"4952","Cheryl Matthews","Status","Alive"
"4953","Cheryl Matthews","Classification","Former; guest"
"4954","Cheryl Matthews","Page Links:","What Links Here"
"4955","Chess Newland","Portrayed by","Liani Samuel (search)"
"4956","Chess Newland","Introduced by","Kate Oates"
"4957","Chess Newland","Gender"," Female"
"4958","Chess Newland","First Appearance","15 February 2022"
"4959","Chess Newland","Duration","2022"
"4960","Chess Newland","Status","Alive"
"4961","Chess Newland","Classification","Former; guest"
"4962","Chess Newland","Page Links:","What Links Here"
"4963","Chike Butcher","Portrayed by","— (search)"
"4964","Chike Butcher","Gender"," Male"
"4965","Chike Butcher","Status","Deceased"
"4966","Chike Butcher","Date of Birth","Around 1910"
"4967","Chike Butcher","Date of Death","Before 1988"
"4968","Chike Butcher","Classification","Unseen"
"4969","Chike Butcher","Wife","Mo Butcher"
"4970","Chike Butcher","Sons","Frank Butcher"
"4971","Chike Butcher","Daughters","Joan Garwood"
"4972","Chike Butcher","Grandsons","Ricky ButcherDanny Butcher"
"4973","Chike Butcher","Granddaughters","Clare ButcherDiane ButcherJanine Butcher"
"4974","Chike Butcher","Great-grandsons","Jacques ButcherLiam Butcher"
"4975","Chike Butcher","Great-granddaughters","Kira Salter Natasha Butcher Tiffany Butcher Scarlett Moon"
"4976","Chike Butcher","Other known relatives","June Butcher Pat Butcher Peggy Mitchell"
"4977","Chike Butcher","Page Links:","What Links Here"
"4978","Chloe","Portrayed by","Lauren Fitzpatrick (search)"
"4979","Chloe","Introduced by","John Yorke"
"4980","Chloe","Gender"," Female"
"4981","Chloe","First Appearance","23 April 2018"
"4982","Chloe","Last Appearance","26 April 2018"
"4983","Chloe","Duration","2018"
"4984","Chloe","Episode Count"," 2 "
"4985","Chloe","Status","Alive"
"4986","Chloe","Classification","Former; guest"
"4987","Chloe","Sons","Harley"
"4988","Chloe","Page Links:","What Links Here"
"4989","Chloe (16 June 2021 - Part 2)","Portrayed by","Hannah Brian (search)"
"4990","Chloe (16 June 2021 - Part 2)","Introduced by","Kate Oates Jon Sen"
"4991","Chloe (16 June 2021 - Part 2)","Gender"," Female"
"4992","Chloe (16 June 2021 - Part 2)","Appears on","16 June 2021 - Part 2"
"4993","Chloe (16 June 2021 - Part 2)","Episode Count"," 1 "
"4994","Chloe (16 June 2021 - Part 2)","Status","Alive"
"4995","Chloe (16 June 2021 - Part 2)","Occupation","Beautician"
"4996","Chloe (16 June 2021 - Part 2)","Classification","Former; guest"
"4997","Chloe (16 June 2021 - Part 2)","Page Links:","What Links Here"
"4998","Chloe (2021)","Portrayed by","Saskia Chambers (search)"
"4999","Chloe (2021)","Introduced by","Kate Oates Jon Sen"
"5000","Chloe (2021)","Gender"," Female"
"5001","Chloe (2021)","First Appearance","15 April 2021"
"5002","Chloe (2021)","Last Appearance","16 April 2021"
"5003","Chloe (2021)","Episode Count"," 2 "
"5004","Chloe (2021)","Status","Alive"
"5005","Chloe (2021)","Classification","Former; guest"
"5006","Chloe (2021)","Page Links:","What Links Here"
"5007","Li Chong","Portrayed by","Elaine Tan"
"5008","Li Chong","Introduced by","Dominic Treadwell-Collins"
"5009","Li Chong","Gender"," Female"
"5010","Li Chong","First Appearance","16 November 2006"
"5011","Li Chong","Last Appearance","12 July 2007"
"5012","Li Chong","Duration","2006–07"
"5013","Li Chong","Episode Count"," 36 "
"5014","Li Chong","Status","Alive"
"5015","Li Chong","Occupation","Entrepreneur"
"5016","Li Chong","Romances","Mickey Miller (2006-07)"
"5017","Li Chong","Father","Yanmei Chong"
"5018","Li Chong","Mother","Liang Chong"
"5019","Li Chong","Page Links:","What Links Here"
"5020","Chris (1996)","Portrayed by","Bill Britten"
"5021","Chris (1996)","Gender"," Male"
"5022","Chris (1996)","Appears on","14 March 1996"
"5023","Chris (1996)","Episode Count"," 1 "
"5024","Chris (1996)","Status","Alive"
"5025","Chris (1996)","Occupation","Photographer"
"5026","Chris (1996)","Classification","Former; guest"
"5027","Chris (1996)","Page Links:","What Links Here"
"5028","Chris (1997)","Portrayed by","Stephen F. Burke (search)"
"5029","Chris (1997)","Gender"," Male"
"5030","Chris (1997)","Appears on","16 January 1997"
"5031","Chris (1997)","Episode Count"," 1 "
"5032","Chris (1997)","Status","Alive"
"5033","Chris (1997)","Classification","Former; guest"
"5034","Chris (1997)","Page Links:","What Links Here"
"5035","Chris (1999)","Portrayed by","Sam Smart (search)"
"5036","Chris (1999)","Introduced by","Matthew Robinson"
"5037","Chris (1999)","Gender"," Male"
"5038","Chris (1999)","First Appearance","17 August 1999"
"5039","Chris (1999)","Last Appearance","31 December 1999 - Part 2"
"5040","Chris (1999)","Episode Count"," 3 "
"5041","Chris (1999)","Status","Alive"
"5042","Chris (1999)","Classification","Former; guest"
"5043","Chris (1999)","Wife","Susie Price"
"5044","Chris (1999)","Sons","Darren"
"5045","Chris (1999)","Father-in-law","Dave Price"
"5046","Chris (1999)","Mother-in-law","Andrea Price"
"5047","Chris (1999)","Nephews","Jack Price  Kevin Price"
"5048","Chris (1999)","Great-nephews","Jack Evans"
"5049","Chris (1999)","Page Links:","What Links Here"
"5050","Chris (22 March 2018)","Portrayed by","Uncredited (search)"
"5051","Chris (22 March 2018)","Introduced by","John Yorke"
"5052","Chris (22 March 2018)","Gender"," Male"
"5053","Chris (22 March 2018)","Appears on","22 March 2018 - Part 2"
"5054","Chris (22 March 2018)","Status","Alive"
"5055","Chris (22 March 2018)","Occupation","Driver"
"5056","Chris (22 March 2018)","Classification","Former; guest"
"5057","Chris (22 March 2018)","Page Links:","What Links Here"
"5058","Chris (27 March 2018)","Portrayed by","Andrew Lawden (search)"
"5059","Chris (27 March 2018)","Introduced by","John Yorke"
"5060","Chris (27 March 2018)","Gender"," Male"
"5061","Chris (27 March 2018)","Appears on","27 March 2018"
"5062","Chris (27 March 2018)","Episode Count"," 1 "
"5063","Chris (27 March 2018)","Status","Alive"
"5064","Chris (27 March 2018)","Classification","Former; guest"
"5065","Chris (27 March 2018)","Page Links:","What Links Here"
"5066","Chris (4 February 2022)","Portrayed by","Nick Hooton (search)"
"5067","Chris (4 February 2022)","Introduced by","Kate Oates (2022) Jon Sen (2022)"
"5068","Chris (4 February 2022)","Gender"," Male"
"5069","Chris (4 February 2022)","Appears on","4 February 2022"
"5070","Chris (4 February 2022)","Duration","2022"
"5071","Chris (4 February 2022)","Episode Count"," 1 "
"5072","Chris (4 February 2022)","Status","Alive"
"5073","Chris (4 February 2022)","Occupation","Repairman"
"5074","Chris (4 February 2022)","Classification","Former; guest"
"5075","Chris (4 February 2022)","Page Links:","What Links Here"
"5076","Chris Clarke","Portrayed by","Matthew Jay Lewis"
"5077","Chris Clarke","Gender"," Male"
"5078","Chris Clarke","First Appearance","8 December 1997"
"5079","Chris Clarke","Last Appearance","6 August 1998"
"5080","Chris Clarke","Duration","1997-1998"
"5081","Chris Clarke","Episode Count"," 31 "
"5082","Chris Clarke","Status","Alive"
"5083","Chris Clarke","Romances","Simon Raymond"
"5084","Chris Clarke","Page Links:","What Links Here"
"5085","Chris Hancock","Portrayed by","Simon Tcherniak (search)"
"5086","Chris Hancock","Introduced by","Sean O'Connor (2016)Jon Sen & Kate Oates (2021)"
"5087","Chris Hancock","Gender"," Male"
"5088","Chris Hancock","First Appearance","12 July 2016"
"5089","Chris Hancock","Last Appearance","24 September 2021"
"5090","Chris Hancock","Duration","2016, 2021"
"5091","Chris Hancock","Episode Count"," 2 "
"5092","Chris Hancock","Status","Alive"
"5093","Chris Hancock","Occupation","Deputy Headteacher"
"5094","Chris Hancock","Classification","Fromer; guest"
"5095","Chris Hancock","Page Links:","What Links Here"
"5096","Chris Kennedy","Introduced by","Kate Oates Jon Sen"
"5097","Chris Kennedy","Gender"," Male"
"5098","Chris Kennedy","Status","Deceased"
"5099","Chris Kennedy","Date of Death","14 February 2019"
"5100","Chris Kennedy","Occupation","Soldier"
"5101","Chris Kennedy","Classification","Unseen"
"5102","Chris Kennedy","Romances","Callum Highway (prior to 2018)"
"5103","Chris Kennedy","Sisters","Vicky Kennedy"
"5104","Chris Kennedy","Page Links:","What Links Here"
"5105","Chris Pickard","Portrayed by","Lucas Hare (search)"
"5106","Chris Pickard","Introduced by","John Yorke"
"5107","Chris Pickard","Gender"," Male"
"5108","Chris Pickard","Appears on","10 September 2018"
"5109","Chris Pickard","Episode Count"," 1 "
"5110","Chris Pickard","Status","Alive"
"5111","Chris Pickard","Occupation","Solicitor"
"5112","Chris Pickard","Classification","Former; guest"
"5113","Chris Pickard","Page Links:","What Links Here"
"5114","Chris Smith","Portrayed by","Allan O'Keefe (search)"
"5115","Chris Smith","Introduced by","Julia Smith"
"5116","Chris Smith","Gender"," Male"
"5117","Chris Smith","First Appearance","7 May 1985"
"5118","Chris Smith","Last Appearance","2 August 1988"
"5119","Chris Smith","Credits","List of appearances"
"5120","Chris Smith","Duration","1985-1988"
"5121","Chris Smith","Episode Count"," 54 "
"5122","Chris Smith","Status","Alive"
"5123","Chris Smith","Occupation","Lorry driver"
"5124","Chris Smith","Classification","Former; regular"
"5125","Chris Smith","Wife","Edie Smith"
"5126","Chris Smith","Sons","Brendan Smith Gary Smith"
"5127","Chris Smith","Daughters","Mary Smith Bridey Smith"
"5128","Chris Smith","Granddaughters","Annie Smith"
"5129","Chris Smith","Page Links:","What Links Here"
"5130","Chris Taylor","Portrayed by","Tony Armatrading (search)"
"5131","Chris Taylor","Gender"," Male"
"5132","Chris Taylor","Appears on","22 June 1993"
"5133","Chris Taylor","Episode Count"," 1 "
"5134","Chris Taylor","Status","Alive"
"5135","Chris Taylor","Occupation","British Army Paratrooper  Unemployed"
"5136","Chris Taylor","Classification","Former; guest"
"5137","Chris Taylor","Wife","Teresa"
"5138","Chris Taylor","Sons","Darren  Paul"
"5139","Chris Taylor","Page Links:","What Links Here"
"5140","Chris Worwood","Portrayed by","Sophie Duval (search)"
"5141","Chris Worwood","Introduced by","Dominic Treadwell-Collins"
"5142","Chris Worwood","Gender"," Female"
"5143","Chris Worwood","First Appearance","16 June 2016"
"5144","Chris Worwood","Status","Alive"
"5145","Chris Worwood","Occupation","Barrister"
"5146","Chris Worwood","Classification","Former; guest"
"5147","Chris Worwood","Page Links:","What Links Here"
"5148","Chris Wright","Portrayed by","Tom Roberts (search)"
"5149","Chris Wright","Introduced by","Louise Berridge"
"5150","Chris Wright","Gender"," Male"
"5151","Chris Wright","First Appearance","21 November 2002"
"5152","Chris Wright","Last Appearance","13 December 2002"
"5153","Chris Wright","Episode Count"," 2 "
"5154","Chris Wright","Status","Alive"
"5155","Chris Wright","Classification","Former; guest"
"5156","Chris Wright","Page Links:","What Links Here"
"5157","Chrissie Watts","Portrayed by","Tracy-Ann Oberman"
"5158","Chrissie Watts","Introduced by","Louise Berridge (2004"
"5159","Chrissie Watts","Gender"," Female"
"5160","Chrissie Watts","First Appearance","29 April 2004"
"5161","Chrissie Watts","Last Appearance","9 December 2005"
"5162","Chrissie Watts","Credits","List of appearances"
"5163","Chrissie Watts","Duration","2004-2005"
"5164","Chrissie Watts","Episode Count"," 215 "
"5165","Chrissie Watts","Status","Alive"
"5166","Chrissie Watts","Age","54"
"5167","Chrissie Watts","Date of Birth","18 March 1968"
"5168","Chrissie Watts","Occupation","Landlady"
"5169","Chrissie Watts","Classification","Former; regular"
"5170","Chrissie Watts","Husband","Den Watts (1999-2005)"
"5171","Chrissie Watts","Stepsons","Dennis Rickman"
"5172","Chrissie Watts","Stepdaughters","Vicki Fowler Sharon Watts"
"5173","Chrissie Watts","Page Links:","What Links Here"
"5174","Christian Clarke","Portrayed by","John Partridge"
"5175","Christian Clarke","Introduced by","Diederick Santer (2008)"
"5176","Christian Clarke","Spin-off Appearances","Amira's Secret"
"5177","Christian Clarke","Gender"," Male"
"5178","Christian Clarke","First Appearance","17 January 2008"
"5179","Christian Clarke","Last Appearance","30 May 2016"
"5180","Christian Clarke","Credits","List of appearances"
"5181","Christian Clarke","Cause/Reason","Moved away with Syed Masood"
"5182","Christian Clarke","Duration","2008-2012, 2014, 2015, 2016"
"5183","Christian Clarke","Episode Count"," 377 "
"5184","Christian Clarke","Doof Doof Count"," 20 "
"5185","Christian Clarke","Status","Alive"
"5186","Christian Clarke","Age","50"
"5187","Christian Clarke","Date of Birth","15th June 1972"
"5188","Christian Clarke","Occupation","Personal trainer"
"5189","Christian Clarke","Classification","Former; regular"
"5190","Christian Clarke","Husband","Syed Masood (2012-)"
"5191","Christian Clarke","Fiancé","Ashley Jennings"
"5192","Christian Clarke","Romances","Lee Thompson (2008)"
"5193","Christian Clarke","Stepdaughters","Yasmin Masood (2012-)"
"5194","Christian Clarke","Father-in-law","Masood Ahmed (2012-)"
"5195","Christian Clarke","Mother-in-law","Zainab Masood (2012-)"
"5196","Christian Clarke","Father","Roger Clarke"
"5197","Christian Clarke","Mother","Linda Clarke"
"5198","Christian Clarke","Brother-in-law","David Collins (1992-2004) Ian Beale (2007-2011; 2015-2020)"
"5199","Christian Clarke","Sisters","Jane Beale"
"5200","Christian Clarke","Nephews","Bobby Beale (adoptive) Peter Beale (step-nephew)"
"5201","Christian Clarke","Nieces","Lucy Beale (step-niece)"
"5202","Christian Clarke","Great-nephews","Louie Beale (step-great nephew)"
"5203","Christian Clarke","Great-nieces","Abi Branning (step-great niece)"
"5204","Christian Clarke","Page Links:","What Links Here"
"5205","Christian James","Portrayed by","Damien Goodwin (search)"
"5206","Christian James","Introduced by","Helen Greaves"
"5207","Christian James","Gender"," Male"
"5208","Christian James","First Appearance","10 November 1992"
"5209","Christian James","Last Appearance","12 November 1992"
"5210","Christian James","Episode Count"," 2 "
"5211","Christian James","Status","Alive"
"5212","Christian James","Occupation","Student"
"5213","Christian James","Classification","Former; guest"
"5214","Christian James","Page Links:","What Links Here"
"5215","Christine Allinson","Portrayed by","Suzann McLean (search)"
"5216","Christine Allinson","Introduced by","Sean O'Connor"
"5217","Christine Allinson","Gender"," Male"
"5218","Christine Allinson","First Appearance","29 November 2016"
"5219","Christine Allinson","Status","Alive"
"5220","Christine Allinson","Occupation","Dietician"
"5221","Christine Allinson","Classification","Former; guest"
"5222","Christine Allinson","Page Links:","What Links Here"
"5223","Christine Goldsworthy","Portrayed by","— (search)"
"5224","Christine Goldsworthy","Gender"," Female"
"5225","Christine Goldsworthy","Classification","Unseen"
"5226","Christine Goldsworthy","Page Links:","What Links Here"
"5227","Christine Hayden","Portrayed by","— (search)"
"5228","Christine Hayden","Gender"," Female"
"5229","Christine Hayden","Status","Alive"
"5230","Christine Hayden","Occupation","Nail Bar Manager"
"5231","Christine Hayden","Classification","Unseen"
"5232","Christine Hayden","Page Links:","What Links Here"
"5233","Christine Hewitt","Portrayed by","Elizabeth Power (search)"
"5234","Christine Hewitt","Introduced by","Leonard Lewis"
"5235","Christine Hewitt","Gender"," Female"
"5236","Christine Hewitt","First Appearance","25 February 1992"
"5237","Christine Hewitt","Last Appearance","7 October 1993"
"5238","Christine Hewitt","Credits","List of appearances"
"5239","Christine Hewitt","Duration","1992–93"
"5240","Christine Hewitt","Episode Count"," 81 "
"5241","Christine Hewitt","Status","Alive"
"5242","Christine Hewitt","Occupation","Cook"
"5243","Christine Hewitt","Classification","Former; regular"
"5244","Christine Hewitt","Husband","Greg Hewitt (?–1993)"
"5245","Christine Hewitt","Sons","Jonathan Hewitt"
"5246","Christine Hewitt","Page Links:","What Links Here"
"5247","Christine Jennings","Portrayed by","Jane Bertish (search)"
"5248","Christine Jennings","Gender"," Female"
"5249","Christine Jennings","First Appearance","17 November 1997"
"5250","Christine Jennings","Last Appearance","1 December 1997"
"5251","Christine Jennings","Episode Count"," 2 "
"5252","Christine Jennings","Status","Alive"
"5253","Christine Jennings","Occupation","Doctor"
"5254","Christine Jennings","Classification","Former; guest"
"5255","Christine Jennings","Page Links:","What Links Here"
"5256","Christopher Highway","Gender"," Male"
"5257","Christopher Highway","First Mentioned","4 November 2021"
"5258","Christopher Highway","Status","Unknown"
"5259","Christopher Highway","Age","36"
"5260","Christopher Highway","Date of Birth","11th January 1986"
"5261","Christopher Highway","Classification","Mentioned"
"5262","Christopher Highway","Mother","Violet Highway"
"5263","Christopher Highway","Half-Brothers","Jonno Highway"
"5264","Christopher Highway","Nephews","Stuart Highway Callum Highway"
"5265","Christopher Highway","Great-nephews","Roland Highway"
"5266","Christopher Highway","Great-nieces","Zara Highway"
"5267","Christopher Highway","Page Links:","What Links Here"
"5268","Arthur Chubb","Nicknames","Fatboy  Fats"
"5269","Arthur Chubb","Portrayed by","Ricky Norwood"
"5270","Arthur Chubb","Introduced by","Diederick Santer (2010)"
"5271","Arthur Chubb","Spin-off Appearances","EastEnders: E20 Lauren's Diary"
"5272","Arthur Chubb","Gender"," Male"
"5273","Arthur Chubb","First Appearance","5 January 2010"
"5274","Arthur Chubb","Last Appearance","24 December 2015"
"5275","Arthur Chubb","Credits","List of appearances"
"5276","Arthur Chubb","Cause/Reason","Crushed in a car by Ronnie Mitchell’s hitmen"
"5277","Arthur Chubb","Duration","2010-2015"
"5278","Arthur Chubb","Episode Count"," 441 "
"5279","Arthur Chubb","Address","25 Albert Square"
"5280","Arthur Chubb","Status","Deceased"
"5281","Arthur Chubb","Age","22/23"
"5282","Arthur Chubb","Date of Birth","1992"
"5283","Arthur Chubb","Date of Death","25 December 2015"
"5284","Arthur Chubb","Occupation","DJ  Market trader  Car salesman  Fast food worker"
"5285","Arthur Chubb","Classification","Former; regular"
"5286","Arthur Chubb","Wife","Mercy Olubunmi (2011)"
"5287","Arthur Chubb","Romances","Whitney Dean (2011-2012) Poppy Meadow (2012-2014)"
"5288","Arthur Chubb","Father","Ashley Chubb"
"5289","Arthur Chubb","Uncles","Unnamed uncle"
"5290","Arthur Chubb","Page Links:","What Links Here"
"5291","Ciara Maguire","Portrayed by","Denise McCormack (search)"
"5292","Ciara Maguire","Introduced by","John Yorke"
"5293","Ciara Maguire","Gender"," Female"
"5294","Ciara Maguire","First Appearance","2 January 2018"
"5295","Ciara Maguire","Last Appearance","6 February 2018"
"5296","Ciara Maguire","Duration","2018"
"5297","Ciara Maguire","Episode Count"," 9 "
"5298","Ciara Maguire","Status","Alive"
"5299","Ciara Maguire","Occupation","GangsterCriminal"
"5300","Ciara Maguire","Classification","Present; guest"
"5301","Ciara Maguire","Husband","Aidan Maguire (backstory)"
"5302","Ciara Maguire","Brothers","Ray Kelly"
"5303","Ciara Maguire","Nephews","Jake Wright"
"5304","Ciara Maguire","Page Links:","What Links Here"
"5305","Cindy Beale","Birth","Cindy Williams"
"5306","Cindy Beale","Portrayed by","Michelle Collins"
"5307","Cindy Beale","Introduced by","Julia Smith (1988) Leonard Lewis (1992) Jane Harris (1997)"
"5308","Cindy Beale","Spin-off Appearances","The Ghosts of Ian Beale"
"5309","Cindy Beale","Gender"," Female"
"5310","Cindy Beale","First Appearance","10 May 1988"
"5311","Cindy Beale","Last Appearance","10 April 1998"
"5312","Cindy Beale","Credits","List of appearances"
"5313","Cindy Beale","Cause/Reason","Died from a embolism after childbirth in prison whilst giving birth to her daughter Cindy Williams Jr"
"5314","Cindy Beale","Duration","1988-1998"
"5315","Cindy Beale","Episode Count"," 572 "
"5316","Cindy Beale","Address","3 Albert Square (1990)"
"5317","Cindy Beale","Status","Deceased"
"5318","Cindy Beale","Date of Birth","10 May 1968"
"5319","Cindy Beale","Date of Death","5 November 1998  (off-screen)"
"5320","Cindy Beale","Occupation","Entrepreneur"
"5321","Cindy Beale","Husband","Ian Beale (1989-1997)"
"5322","Cindy Beale","Romances","Simon WicksDavid WicksNick Holland"
"5323","Cindy Beale","Sons","Steven Beale Peter Beale"
"5324","Cindy Beale","Daughters","Lucy Beale Cindy Williams"
"5325","Cindy Beale","Father","Tom Williams"
"5326","Cindy Beale","Mother","Bev Williams"
"5327","Cindy Beale","Grandsons","Louie Beale"
"5328","Cindy Beale","Granddaughters","Beth WilliamsAbi Branning"
"5329","Cindy Beale","Sisters","Gina Williams"
"5330","Cindy Beale","Page Links:","What Links Here"
"5331","Cindy Williams Jr","Other","Cindy Beale-Williams"
"5332","Cindy Williams Jr","Portrayed by","Ella Wortley (1998–1999)  Cyndey Parker (1998–1999)  Eva Sayer (2007) Mimi Keene (2013-2015)"
"5333","Cindy Williams Jr","Introduced by","Matthew Robinson (1998) Diederick Santer (2007) Lorraine Newman (2013)"
"5334","Cindy Williams Jr","Gender"," Female"
"5335","Cindy Williams Jr","First Appearance","9 November 1998"
"5336","Cindy Williams Jr","Last Appearance","17 August 2015"
"5337","Cindy Williams Jr","Credits","List of appearances"
"5338","Cindy Williams Jr","Cause/Reason","Left Walford with Liam Butcher to live in Germany with him and his father Ricky"
"5339","Cindy Williams Jr","Duration","1998-1999, 2007, 2013-2015"
"5340","Cindy Williams Jr","Episode Count"," 124 "
"5341","Cindy Williams Jr","Address","45 Albert Square (2013-2015)  Düsseldorf, Germany (2015-)"
"5342","Cindy Williams Jr","Status","Alive"
"5343","Cindy Williams Jr","Age","23"
"5344","Cindy Williams Jr","Date of Birth","5th November 1998"
